CIC0,SM1_Dz(Z),GATS1i,MLOGP,LC50,NdsCH_1,NdsCH_2,NdsCH_3,NdsCH_4,NdssC_1,NdssC_2,NdssC_3,NdssC_4,NdssC_5,NdssC_6
3.26,0.829,1.676,1.453,3.77,False,False,False,False,True,False,False,False,False,False
2.189,0.58,0.863,1.348,3.115,False,False,False,False,False,False,False,False,False,False
2.125,0.638,0.831,1.348,3.531,False,False,False,False,False,False,False,False,False,False
3.027,0.331,1.472,1.807,3.51,True,False,False,False,False,False,False,False,False,False
2.094,0.827,0.86,1.886,5.39,False,False,False,False,False,False,False,False,False,False
3.222,0.331,2.177,0.706,1.819,False,False,False,False,False,False,False,False,False,False
3.179,0.0,1.063,2.942,3.947,False,False,False,False,False,False,False,False,False,False
3.0,0.0,0.938,2.851,3.513,True,False,False,False,False,False,False,False,False,False
2.62,0.499,0.99,2.942,4.402,False,False,False,False,False,False,False,False,False,False
2.834,0.134,0.95,1.591,3.021,False,False,False,False,False,False,False,False,False,False
2.405,0.134,0.843,1.769,3.21,False,False,False,False,False,False,False,False,False,False
2.728,0.223,0.953,1.591,2.371,False,False,False,False,False,False,False,False,False,False
2.512,0.223,0.929,1.769,3.919,True,False,False,False,False,False,False,False,False,False
2.834,0.134,1.237,1.859,3.03,False,False,False,False,False,False,False,False,False,False
2.819,0.331,1.271,0.981,2.736,False,False,False,False,True,False,False,False,False,False
2.126,0.251,1.114,0.143,2.157,False,False,False,False,False,False,False,False,False,False
2.834,0.134,1.322,1.199,2.413,False,False,False,False,False,False,False,False,False,False
3.014,0.56,1.781,-0.115,0.898,False,False,False,False,False,False,False,False,False,False
3.024,0.452,2.698,1.107,0.45,False,False,False,False,False,False,False,False,False,False
3.036,0.405,1.205,1.807,3.733,True,False,False,False,False,False,False,False,False,False
2.707,0.972,1.889,-1.169,2.976,False,False,False,False,False,False,True,False,False,False
2.978,1.246,1.103,3.988,6.535,False,False,False,False,True,False,False,False,False,False
3.111,0.732,0.923,4.068,5.643,False,False,False,False,False,False,False,False,False,False
3.315,0.223,0.96,3.395,4.629,False,False,False,False,False,False,False,False,False,False
2.71,0.93,0.724,2.526,4.838,False,False,False,False,False,False,False,False,False,False
3.326,0.647,0.986,3.112,4.081,False,False,False,False,True,False,False,False,False,False
3.332,0.134,1.294,2.51,3.436,False,False,False,False,False,False,False,False,False,False
3.896,0.134,1.984,2.591,3.45,False,False,False,False,False,False,False,False,False,False
3.155,0.638,2.128,-0.937,1.102,False,False,False,False,False,False,False,False,False,False
2.479,0.887,0.954,1.748,4.257,False,False,False,False,False,False,False,False,False,False
1.075,1.161,0.865,0.024,5.386,False,False,False,False,True,False,False,False,False,False
3.645,0.223,1.155,2.837,3.393,False,False,False,False,False,False,False,False,False,False
3.079,0.429,2.135,-0.521,1.308,False,False,False,False,False,False,False,False,False,False
3.332,0.134,1.519,2.242,3.554,False,False,False,False,False,False,False,False,False,False
2.726,0.496,1.179,1.06,2.269,False,False,False,False,True,False,False,False,False,False
3.532,0.134,1.11,2.813,4.165,False,False,False,False,False,False,False,False,False,False
4.216,0.223,1.248,5.089,5.896,False,False,False,False,False,False,False,False,False,False
3.605,0.0,1.15,3.562,4.829,False,False,False,False,False,False,False,False,False,False
2.918,0.223,0.944,2.066,4.59,False,False,True,False,False,False,False,False,False,False
3.833,0.405,1.522,3.492,2.092,False,False,False,False,True,False,False,False,False,False
3.669,0.223,1.599,2.274,3.665,False,False,False,False,False,False,False,False,False,False
2.824,0.223,1.0,2.102,3.56,True,False,False,False,False,False,False,False,False,False
2.233,0.64,0.92,2.37,4.805,True,False,False,False,False,False,False,False,False,False
3.103,0.134,1.344,1.533,3.174,False,False,False,False,False,False,False,False,False,False
4.413,0.56,1.17,3.906,7.899,True,False,False,False,False,True,False,False,False,False
3.641,0.331,1.933,1.565,2.67,False,False,False,False,True,False,False,False,False,False
3.073,0.693,1.851,0.787,4.016,False,False,False,False,False,True,False,False,False,False
3.012,0.223,1.023,2.193,3.857,False,False,False,False,False,False,False,False,False,False
3.818,0.693,1.627,2.217,5.522,False,True,False,False,False,True,False,False,False,False
4.171,0.693,1.678,2.849,4.851,False,False,False,False,False,True,False,False,False,False
3.734,0.223,1.45,2.642,3.84,False,True,False,False,True,False,False,False,False,False
3.734,0.223,1.374,2.642,4.586,False,True,False,False,False,True,False,False,False,False
2.126,0.977,0.771,3.795,5.284,False,False,False,False,False,False,False,False,False,False
2.216,0.679,0.764,2.296,3.559,False,False,False,False,False,False,False,False,False,False
3.179,0.0,1.063,2.942,4.091,False,False,False,False,False,False,False,False,False,False
2.62,0.499,0.99,3.21,4.33,False,False,False,False,False,False,False,False,False,False
2.728,0.223,0.953,1.859,3.755,False,False,False,False,False,False,False,False,False,False
2.126,0.83,0.899,3.478,4.552,False,False,False,False,False,False,False,False,False,False
2.216,0.582,0.839,2.127,3.62,False,False,False,False,False,False,False,False,False,False
2.086,0.64,0.838,2.127,4.459,False,False,False,False,False,False,False,False,False,False
2.834,0.134,0.95,1.859,2.827,False,False,False,False,False,False,False,False,False,False
2.126,0.405,0.917,0.411,6.38,False,False,False,True,False,True,False,False,False,False
3.08,0.405,1.609,1.619,4.786,True,False,False,False,True,False,False,False,False,False
1.636,0.64,1.695,0.408,3.861,False,False,False,False,False,False,False,False,False,False
2.219,0.604,1.537,2.026,3.262,False,False,False,False,False,False,False,False,False,False
1.594,0.223,1.333,0.094,6.297,False,True,False,False,False,False,False,False,False,False
1.818,0.499,1.468,1.672,3.546,True,False,False,False,False,False,False,False,False,False
1.5,0.83,1.891,1.817,2.92,False,False,False,False,False,False,False,False,False,False
1.512,0.64,1.844,0.347,3.203,False,False,False,False,False,False,False,False,False,False
2.56,0.134,1.758,0.347,2.283,False,False,False,False,False,False,False,False,False,False
1.818,0.134,1.445,0.202,1.559,False,False,False,False,False,False,False,False,False,False
1.359,0.134,1.13,0.094,3.47,True,False,False,False,False,False,False,False,False,False
0.667,0.582,1.361,0.202,4.748,False,False,False,False,False,False,False,False,False,False
2.333,0.251,1.946,-1.053,2.576,False,False,False,False,False,False,False,False,False,False
2.026,0.223,1.429,0.202,5.259,True,False,False,False,False,False,False,False,False,False
